年度,起訖期間,債務未償餘額實際數(億元)
82, 81.7.1~82.6.30 ,"1,068.70"
83, 82.7.1~83.6.30 ,"1,116.60"
84, 83.7.1~84.6.30 ,"1,033.40"
85, 84.7.1~85.6.30 ,"1,294.50"
86, 85.7.1~86.6.30 ,"1,299.40"
87, 86.7.1~87.6.30 ,"1,082.60"
88, 87.7.1~88.6.30 ,"1,099.60"
89, 88.7.1~89.12.31 ,"1,135.30"
90, 90.1.1~90.12.31 ,"1,241.60"
91, 91.1.1~91.12.31 ,"1,418.40"
92, 92.1.1~92.12.31 ,"1,553.70"
93, 93.1.1~93.12.31 ,"1,805.20"
94, 94.1.1~94.12.31 ,"1,753.50"
95, 95.1.1~95.12.31 ,"1,698.70"
96, 96.1.1~96.12.31 ,"1,619.50"
97, 97.1.1~97.12.31 ,"1,553.50"
98, 98.1.1~98.12.31 ,"1,487.50"
99, 99.1.1~99.12.31 ,"1,461.50"
100, 100.1.1~100.12.31 ,"1,665.50"
101, 101.1.1~101.12.31 ,"1,641.70"
102, 102.1.1~102.12.31 ,"1,630.70"
103, 103.1.1~103.12.31 ,"1,468.70"
104, 104.1.1~ 104.12.31(含整理期間),"1,302.70"
105, 105.1.1~ 105.12.31(含整理期間),"1,168.00"
106, 106.1.1~ 106.12.31(含整理期間),"1,048.00"
107, 107.1.1~ 107.11.30,938
